"query","search interest","increase percent"
"prozis",4,"Breakout"
"coach aaron proteinpulver",3,"Breakout"
"body attack",2,"Breakout"
"markus rühl protein",1,"Breakout"
"eiskaffee proteinpulver",1,"Breakout"
"hsn protein",1,"Breakout"
"bananenbrot mit proteinpulver",0,"Breakout"
"geschmacksneutrales proteinpulver",0,"Breakout"
"proteinreiche lebensmittel",0,"4.150 %"
"markus rühl",3,"200 %"
"günstiges proteinpulver",4,"120 %"
"bestes veganes proteinpulver",3,"100 %"
"rühl proteinpulver",5,"100 %"
"bulk protein",2,"100 %"
"prozis proteinpulver",3,"90 %"
"ist proteinpulver schädlich",5,"90 %"
"welches proteinpulver ist das beste",6,"80 %"
"proteinpulver günstig",5,"80 %"
"laktosefreies proteinpulver",3,"80 %"
"metaflow",2,"60 %"
"vetain protein",4,"60 %"
"esn proteinpulver vegan",3,"50 %"
"abgelaufenes proteinpulver",2,"50 %"
"esn designer whey",2,"40 %"
"ironmaxx",4,"40 %"
"ahead",5,"40 %"
"ironmaxx proteinpulver",4,"40 %"
"protein kaffee",2,"40 %"
"protein shake",7,"30 %"
"proteinpulver angebot",4,"30 %"
"clear whey",2,"30 %"
"veganes proteinpulver ohne süßungsmittel",2,"30 %"
"esn veganes proteinpulver",4,"30 %"
"proteinpulver zum abnehmen",8,"30 %"
"proteinpulver lidl",11,"30 %"
"aldi proteinpulver",10,"20 %"
"bio proteinpulver",9,"20 %"
"more nutrition",10,"20 %"
"proteinpulver abnehmen",13,"20 %"
"proteinpulver aldi",10,"20 %"
"bulk proteinpulver",6,"20 %"
"müller proteinpulver",3,"20 %"
"scoop proteinpulver",5,"20 %"
"proteinpulver testsieger",3,"20 %"
"whey isolat",2,"20 %"
"esn whey",7,"20 %"
"more",38,"20 %"
"kreatin",7,"20 %"
"vetain proteinpulver",16,"20 %"
"more protein",12,"20 %"
